sutra_ref	sutra_id	final_form	dhatu_root	dhatu_meaning	gana	wiki_target	chain
4.1.89	41089	खारपायणीयाः	खरप्	शब्द			खारपायणीयाः। खरप+फक्। खारप्+आयन। खारपायण। खारपायण+छ। खारपायण+ईय। खारपायणीय+जस्। खारपायणीयाः।
4.1.91	41091	गार्गीया	गर्ग	शब्द			गार्गीया:। गर्ग+यञ्। गार्ग्य। गाये+फक्। गाये+०। गाये+छ। गा! ईय। गार्गीय+जस्। गार्गीयाः।
4.1.91	41091	गार्यायणीयाः	विकल्प	पक्ष			गार्यायणीयाः। गर्ग+यञ्। गाये। गाये+फक्। गाये+आयन। गाायण। गार्यायण+छ। गायिण+ईय। गायिणीय+जस्। गाायणीयाः।
4.1.91	41091	यास्कीया	यस्क	शब्द			यास्कीया:। यस्क+अण्। यास्क। यास्क+फिञ्। यास्क+0। यास्कीय+जस्। यास्कीयाः।
4.1.91	41091	यास्कायनीयाः	विकल्प	पक्ष			यास्कायनीयाः। यस्क+अण। यास्क। यास्क+फिञ्। यास्+आयनि। यास्कायनि। यास्कायनि+छ। यास्कयिन्+ईय। यास्कायनीय+जस्। यास्कायनीयाः।
4.1.92	41092	औपगवः	षष्ठी-समर्थ	उपगु			औपगवः। उपगु+ङस्+अण। औपगो+अ। औपगव+सु। औपगवः।
4.1.92	41092	आश्वपतम्	षष्ठी-समर्थ	अश्वपति			आश्वपतम्। अश्वपति+डस्+अण्। आश्वपतम्।
4.1.92	41092	दैत्यः	षष्ठी-समर्थ	दिति			दैत्यः। दिति+डस्+ण्य। दैत्यः॥
4.1.92	41092	औत्स	षष्ठी-समर्थ	उत्स			औत्स:। उत्स+डस्+अञ्। औत्सः।
4.1.92	41092	स्त्रैण	षष्ठी-समर्थ	स्त्री			स्त्रैण:। स्त्री+डस्+नञ्। स्त्रैणः।
4.1.94	41094	गार्ग्यायण	प्रथम	षष्ठी - समर्थ गर्ग			गार्ग्यायण:। गर्ग+ङस् +यञ्। गार्ग्+य। गार्ग्य+फक्। गार्ग्य + आयन। गार्ग्यायण+सु। गार्ग्यायणः।
4.1.94	41094	औपगवि	प्रथम	षष्ठी- समर्थ उपगु			औपगवि:। उपगु+ङस् +अण्। औपगो+अ। औपगव। औपगव+इञ्। औपगवि+सु। औपगविः।
4.1.94	41094	नाडायनिः	प्रथम	षष्ठी - समर्थ नड			नाडायनिः। नड + ङस् + फक्। नाडायन। नाडायन+इञ्। नाडायनि+सु। नाडायनिः।
4.1.96	41096	बाहवि	षष्ठी-समर्थ	बाहु			बाहवि:। बाहु+डस्+इञ्। बाहो+इ। बाहवि+सु। बाहविः।
4.1.101	41101	गाायणः	प्रथम	षष्ठी-समर्थ गर्ग			गाायणः। गर्ग+डस्+यञ्। गाये। गाये+फक्। गाये+आयन। गाायण+सु। गाायणः।
4.1.103	41103	द्रौणायन	षष्ठी-समर्थ	द्रोण			द्रौणायन:। द्रोण+डस्+फक्। द्रौण+आयन। द्रौणायन+सु। द्रौणायन:।
4.1.103	41103	द्रौणि	विकल्प	पक्ष			द्रौणि:। द्रोण+डस्+इञ्। द्रौणि+सु। द्रौणिः।
4.1.104	41104	बैदः	षष्ठी-समर्थ	ऋषिवाची विद			बैदः। बिद+ ङस् +अञ्। बैद्+अ। बैद+सु। बैदः।
4.1.104	41104	पौत्रः	षष्ठी-समर्थ	अनृषिवाची पुत्र			पौत्रः। पुत्र+ङस् +अञ्। पौत्र+अ। पौत्र+सु। पौत्रः।
4.1.106	41106	माधव्यः	षष्ठी-समर्थ	मधु			माधव्यः। मधु+ङस् +यञ्। माधो+य। माधव्य+सु। माधव्यः।
4.1.107	41107	काप्य	षष्ठी-समर्थ	कपि			काप्य:। कपि+डस्+यञ्। काप्+य। काप्य+सु। काप्यः।
4.1.110	41110	आश्वायनः	षष्ठी-समर्थ	अश्व			आश्वायनः। अश्व+ङस्+फक्। आश्व् + आयन। आश्वायन+सु। आश्वायनः।
4.1.110	41110	आश्मायनः	षष्ठी	समर्थ अश्मन्			आश्मायनः। अश्मन् + ङस् +फक्। आश्मन् + आयन। आश्म० + आयन। आश्मायन + + सु। आश्मायनः।
4.1.118	41118	पैल	षष्ठी-समर्थ	पीला			पैल:। पीला+डस्+अण्। पैल्+अ। पैल+सु। पैलः।
4.1.118	41118	पैलेय	षष्ठी-समर्थ	पीला प्रातिपदिक			पैलेय:। पीला+डस्+ढक्। पैल्+एय। पैलेय+सु। पैलेयः।
4.1.119	41119	माण्डूकेय	मण्डूक	प्रातिपदिक			माण्डूकेय:। मण्डूक+ढक्। माण्डूक्+एय। माण्डूकेय+सु। माण्डूकेय:।
4.1.119	41119	माण्डूकः	षष्ठी-समर्थ	मण्डूक			माण्डूकः। मण्डूक+डस्+अण्। माण्डूक्+अ। माण्डूक+सु। माण्डूकः।
4.1.119	41119	माण्डूकिः	विकल्प	पक्ष			माण्डूकिः। माण्डूक+इन्। माण्डूक+इ। माण्डूकि+सु। माण्डूकिः।
4.1.127	41127	कौलटिनेय	कुलटा	शब्द			कौलटिनेय:। कुलटा+डस्+ढक्। कुलट् इनङ्+एय। कौलटिन्+एय। कौलटिनेय+सु। कौलटिनेयः।
4.1.127	41127	कौलटेयः	षष्ठी-समर्थ	कुलटा			कौलटेयः। कुलटा+डस्+ढक्। कौलट्+एय। कौलटेय+सु। कौलटेयः।
4.1.131	41131	काणेरः	षष्ठी-समर्थ	क्षुद्रावाची ‘काणा			काणेरः। काणा+डस्+क्। काण+एय्+र। काण्+एकर। काणेर+सु। काणेरः।
